               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,             0.06176,             0.16472,            0.029508,             0.28704,             0.79419,             0.46503,              0.2315,            0.035035,              0.1223,            0.026653,           0.0023763,           0.0023763,            0.039476
                 126,             0.06005,             0.16236,            0.029602,               0.309,             0.76306,             0.47522,             0.23798,            0.037896,             0.12196,             0.02658,           0.0023539,           0.0023539,            0.038954
                 127,            0.057766,             0.16542,            0.029114,             0.69703,              0.4945,             0.50004,             0.26303,            0.034921,             0.11923,            0.026241,           0.0023312,           0.0023312,            0.038431
                 128,            0.060904,             0.15693,            0.029474,             0.32221,             0.74969,             0.48931,             0.23404,            0.035824,             0.12059,            0.025991,           0.0023081,           0.0023081,            0.037908
                 129,             0.05903,             0.16768,            0.029312,             0.70344,             0.49562,             0.50104,             0.29108,            0.030051,             0.11954,            0.026292,           0.0022847,           0.0022847,            0.037385
                 130,            0.059251,             0.16847,            0.028927,             0.31881,              0.7512,             0.48981,             0.29472,            0.030498,             0.11974,            0.026237,           0.0022609,           0.0022609,            0.036861
                 131,            0.057433,             0.17551,            0.028907,             0.32147,             0.75076,             0.49457,             0.27487,            0.033675,             0.12352,            0.026499,           0.0022369,           0.0022369,            0.036337
                 132,            0.058149,             0.16201,            0.028943,             0.33128,             0.78477,             0.49771,             0.21624,            0.039998,             0.12203,            0.025806,           0.0022125,           0.0022125,            0.035813
                 133,            0.060761,             0.16139,            0.029032,             0.32985,             0.78902,             0.51307,             0.30657,            0.030008,             0.12103,             0.02566,           0.0021879,           0.0021879,            0.035288
                 134,            0.057018,             0.16813,            0.028988,             0.34061,             0.74315,             0.50511,             0.29241,            0.031601,             0.12022,            0.025669,           0.0021631,           0.0021631,            0.034763
                 135,            0.058899,             0.16356,            0.028718,             0.33273,             0.80398,             0.53153,             0.28913,            0.035076,             0.12033,            0.025279,            0.002138,            0.002138,            0.034238
                 136,            0.057226,             0.16322,             0.02881,             0.34265,             0.79249,             0.52624,             0.25925,            0.036097,              0.1214,            0.025153,           0.0021127,           0.0021127,            0.033713
                 137,            0.056476,             0.16802,            0.028807,             0.33948,             0.77383,               0.539,             0.30427,            0.032113,             0.11715,             0.02515,           0.0020873,           0.0020873,            0.033187
                 138,            0.056168,             0.16962,            0.028719,             0.73233,             0.50312,             0.53837,             0.30315,            0.034742,             0.12296,            0.025301,           0.0020616,           0.0020616,            0.032662
                 139,             0.05514,             0.16559,             0.02893,              0.7375,             0.50021,             0.54603,             0.28832,            0.034104,             0.12189,            0.024922,           0.0020358,           0.0020358,            0.032136
                 140,            0.056806,              0.1594,            0.028723,             0.32223,             0.82382,             0.54602,              0.3008,            0.033411,             0.11844,             0.02473,           0.0020099,           0.0020099,             0.03161
                 141,            0.058819,             0.16177,            0.028579,             0.34383,             0.76305,             0.53084,             0.25663,            0.036239,              0.1179,            0.025018,           0.0019839,           0.0019839,            0.031084
                 142,            0.055486,             0.16852,            0.028214,             0.31742,             0.81664,             0.52767,             0.25225,             0.03638,             0.11722,            0.025066,           0.0019577,           0.0019577,            0.030558
                 143,            0.059321,             0.16605,            0.028675,             0.31628,             0.75117,             0.50673,             0.28211,            0.031334,             0.11822,            0.025878,           0.0019315,           0.0019315,            0.030032
                 144,            0.057528,             0.17072,            0.028769,             0.31492,             0.79213,             0.52819,             0.27521,             0.03392,             0.11741,            0.024919,           0.0019053,           0.0019053,            0.029505
                 145,            0.055791,             0.17002,            0.028379,             0.30872,             0.80414,             0.53194,             0.32028,            0.029837,             0.11716,            0.024872,            0.001879,            0.001879,            0.028979
                 146,             0.05591,             0.17454,            0.028127,              0.3177,             0.80542,             0.53586,             0.32313,            0.029989,             0.11577,            0.024288,           0.0018527,           0.0018527,            0.028453
                 147,             0.05671,             0.16033,            0.028224,             0.34794,             0.77277,             0.54658,             0.29997,            0.033859,             0.11643,            0.023884,           0.0018264,           0.0018264,            0.027926
                 148,            0.056783,             0.16498,             0.02839,             0.33493,             0.78504,             0.55346,             0.27521,            0.036535,             0.11621,            0.023762,           0.0018001,           0.0018001,              0.0274
