               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.069694,             0.17294,            0.030774,             0.54768,             0.45523,             0.24809,             0.10144,            0.046073,             0.15524,             0.02964,           0.0028155,           0.0028155,            0.056916
                  92,             0.07062,              0.1728,            0.030869,             0.54876,             0.44149,             0.24918,            0.092094,             0.04878,             0.15708,            0.029646,           0.0028137,           0.0028137,            0.056414
                  93,            0.069674,              0.1807,             0.03066,             0.55219,             0.39437,             0.22981,            0.069923,            0.051266,             0.16343,             0.02961,           0.0028111,           0.0028111,            0.055911
                  94,             0.06983,             0.17184,            0.030503,             0.56096,             0.44913,             0.26433,            0.096949,            0.048258,             0.15236,            0.029595,           0.0028077,           0.0028077,            0.055408
                  95,            0.068738,             0.17874,            0.030292,             0.56119,             0.43992,             0.25856,            0.089549,            0.048948,             0.15166,            0.029717,           0.0028036,           0.0028036,            0.054904
                  96,            0.067894,             0.16934,            0.030583,             0.54691,             0.43621,             0.25151,            0.086341,              0.0492,             0.15482,            0.029655,           0.0027988,           0.0027988,            0.054399
                  97,            0.068908,              0.1611,            0.030534,             0.55955,              0.4489,             0.26708,            0.085296,            0.050251,             0.15152,            0.029548,           0.0027932,           0.0027932,            0.053893
                  98,            0.069185,             0.17393,            0.030265,             0.55918,             0.44312,             0.26319,            0.083403,            0.051353,             0.15388,            0.029533,           0.0027868,           0.0027868,            0.053387
                  99,            0.068611,             0.17884,            0.030408,             0.55962,             0.42572,             0.25399,            0.064458,            0.053205,             0.15637,            0.029557,           0.0027798,           0.0027798,             0.05288
                 100,             0.07358,             0.17109,            0.030535,             0.54669,             0.44802,             0.24094,            0.069419,            0.053664,             0.15306,            0.029557,            0.002772,            0.002772,            0.052372
                 101,            0.073274,              0.1772,            0.030511,             0.57087,             0.43478,             0.28168,             0.12338,             0.04381,               0.158,            0.029571,           0.0027635,           0.0027635,            0.051864
                 102,            0.069533,             0.16682,            0.030458,             0.54252,             0.35697,             0.22891,            0.088528,            0.046338,             0.15421,            0.029525,           0.0027543,           0.0027543,            0.051354
                 103,            0.068643,              0.1668,            0.030492,             0.55923,             0.46461,             0.26713,             0.08822,            0.049456,             0.15027,            0.029497,           0.0027445,           0.0027445,            0.050844
                 104,            0.068907,             0.17333,            0.030618,             0.56487,              0.4053,             0.26643,             0.10558,            0.045485,             0.15405,            0.029511,           0.0027339,           0.0027339,            0.050334
                 105,            0.068503,             0.17222,            0.030303,             0.56559,             0.48097,             0.27549,            0.086573,            0.049778,             0.15764,            0.029571,           0.0027227,           0.0027227,            0.049823
                 106,             0.06911,             0.17052,            0.030465,             0.59487,             0.39339,              0.2797,             0.10719,            0.046617,              0.1577,            0.029595,           0.0027109,           0.0027109,            0.049311
                 107,            0.068001,             0.17764,             0.03028,             0.57037,             0.43613,             0.27298,             0.11792,            0.044065,             0.16629,            0.029597,           0.0026983,           0.0026983,            0.048798
                 108,            0.071192,             0.16613,            0.030606,             0.58287,             0.44568,             0.28365,             0.11996,            0.043222,             0.15655,            0.029506,           0.0026852,           0.0026852,            0.048285
                 109,            0.068503,             0.16911,            0.030389,             0.57234,             0.44594,             0.27569,             0.11456,            0.043922,             0.15067,            0.029474,           0.0026714,           0.0026714,            0.047771
                 110,            0.067887,             0.16654,            0.030764,             0.56449,             0.47529,             0.27804,             0.11568,            0.044936,             0.14765,            0.029475,            0.002657,            0.002657,            0.047257
                 111,            0.067502,             0.16866,            0.030537,             0.58188,             0.41101,              0.2774,            0.099201,            0.047792,             0.14596,             0.02946,            0.002642,            0.002642,            0.046742
                 112,            0.066777,             0.17162,            0.030058,             0.57483,             0.46003,             0.27542,             0.10354,            0.046765,              0.1461,             0.02942,           0.0026264,           0.0026264,            0.046226
                 113,            0.066939,             0.16992,            0.030267,             0.57882,             0.45521,             0.27387,            0.079582,             0.05084,             0.14482,            0.029391,           0.0026103,           0.0026103,             0.04571
                 114,            0.065979,             0.16679,             0.03055,             0.57129,             0.48637,             0.28244,            0.089228,            0.048643,             0.14511,            0.029459,           0.0025935,           0.0025935,            0.045194
                 115,            0.067862,             0.16439,            0.030224,             0.59089,             0.45062,             0.29261,            0.092203,            0.047972,             0.14514,            0.029398,           0.0025763,           0.0025763,            0.044676
                 116,             0.06632,             0.17758,            0.029881,             0.58218,             0.47261,             0.29327,             0.10358,            0.046917,             0.14439,             0.02942,           0.0025584,           0.0025584,            0.044158
                 117,            0.066947,             0.17424,             0.03038,             0.59672,             0.44639,             0.29712,             0.10358,            0.047207,             0.14303,            0.029357,           0.0025401,           0.0025401,             0.04364
                 118,            0.069654,             0.16911,            0.030269,             0.57727,             0.44338,             0.26237,            0.070576,            0.052153,             0.14745,            0.029309,           0.0025213,           0.0025213,            0.043121
                 119,            0.068801,             0.16626,            0.030302,             0.58137,             0.50308,             0.29213,             0.11264,            0.045659,              0.1481,            0.029311,           0.0025019,           0.0025019,            0.042602
                 120,            0.068309,             0.16323,            0.030356,             0.57976,             0.47807,             0.29037,             0.12979,            0.042683,             0.14452,            0.029298,           0.0024821,           0.0024821,            0.042082
                 121,            0.067246,             0.16674,            0.030437,             0.58388,             0.44965,             0.29819,             0.13018,            0.042195,             0.14335,            0.029404,           0.0024618,           0.0024618,            0.041562
                 122,            0.066068,             0.17412,            0.030244,             0.57406,             0.50521,             0.29267,            0.089584,            0.049161,             0.14256,            0.029379,           0.0024411,           0.0024411,            0.041041
                 123,            0.066408,             0.17001,            0.030477,             0.60088,             0.47224,             0.31516,             0.13006,            0.044047,             0.14506,            0.029452,           0.0024199,           0.0024199,             0.04052
                 124,            0.066719,             0.16967,            0.030453,             0.60173,             0.42625,              0.3074,             0.15285,            0.040145,             0.14717,              0.0295,           0.0023983,           0.0023983,            0.039998
                 125,            0.066113,             0.17785,            0.030183,             0.59229,             0.46111,             0.31026,             0.14204,            0.041435,             0.14792,            0.029471,           0.0023763,           0.0023763,            0.039476
                 126,            0.067961,             0.17048,            0.030401,             0.60404,             0.45693,             0.31768,             0.14817,            0.040295,             0.14248,            0.029368,           0.0023539,           0.0023539,            0.038954
                 127,            0.067363,             0.17287,            0.030176,             0.58782,             0.46612,              0.2933,            0.083781,            0.049398,             0.14422,            0.029259,           0.0023312,           0.0023312,            0.038431
                 128,              0.0654,              0.1715,            0.029845,              0.6008,             0.47314,             0.31817,             0.11858,            0.046379,             0.13978,            0.029189,           0.0023081,           0.0023081,            0.037908
                 129,            0.067171,             0.16392,            0.030565,             0.60249,             0.50711,             0.32583,             0.12371,            0.044348,             0.13966,            0.029264,           0.0022847,           0.0022847,            0.037385
                 130,            0.065166,             0.17119,            0.030085,             0.59878,              0.4953,             0.32449,             0.12154,            0.045256,             0.13927,            0.029234,           0.0022609,           0.0022609,            0.036861
                 131,             0.06514,             0.17203,            0.030413,             0.59676,             0.48696,             0.31756,             0.14483,            0.041921,             0.13831,            0.029212,           0.0022369,           0.0022369,            0.036337
                 132,            0.064469,             0.16879,            0.030416,             0.59481,             0.51339,             0.31685,             0.13269,            0.043032,             0.13845,            0.029274,           0.0022125,           0.0022125,            0.035813
                 133,            0.064046,             0.16662,            0.030227,             0.58882,             0.50897,             0.31076,             0.15082,            0.039536,             0.14034,            0.029326,           0.0021879,           0.0021879,            0.035288
                 134,             0.06429,             0.16605,            0.030077,             0.59384,             0.51036,              0.3136,             0.13878,            0.041396,             0.13914,            0.029252,           0.0021631,           0.0021631,            0.034763
                 135,            0.064821,             0.16668,            0.030421,             0.59682,             0.49528,             0.31816,             0.14112,            0.041916,             0.13786,             0.02917,            0.002138,            0.002138,            0.034238
                 136,            0.066139,             0.16428,            0.029901,             0.58918,             0.47716,             0.29203,            0.079645,            0.051207,             0.13804,            0.029123,           0.0021127,           0.0021127,            0.033713
                 137,            0.066836,             0.16997,            0.030557,             0.61004,             0.46588,             0.32657,             0.14267,            0.042195,             0.14007,             0.02914,           0.0020873,           0.0020873,            0.033187
                 138,            0.065453,             0.17322,            0.030293,             0.60173,             0.49808,             0.32178,             0.12371,            0.044823,             0.13856,            0.029103,           0.0020616,           0.0020616,            0.032662
                 139,            0.066445,             0.16766,            0.030299,             0.60539,             0.50387,             0.32665,             0.14994,            0.040643,             0.13887,            0.029212,           0.0020358,           0.0020358,            0.032136
                 140,            0.063324,             0.17167,            0.030256,             0.61403,             0.47593,             0.32515,             0.14589,             0.04128,             0.13768,            0.029152,           0.0020099,           0.0020099,             0.03161
                 141,            0.064627,             0.16432,            0.030446,             0.60303,             0.50911,               0.328,             0.13705,            0.042106,             0.13643,            0.029121,           0.0019839,           0.0019839,            0.031084
                 142,            0.063389,             0.16876,            0.030421,             0.60133,             0.49915,             0.32127,             0.14532,             0.04045,             0.13497,            0.029128,           0.0019577,           0.0019577,            0.030558
                 143,            0.064452,             0.17212,            0.030088,             0.59728,             0.50039,             0.31733,             0.14113,             0.04093,             0.13518,            0.029149,           0.0019315,           0.0019315,            0.030032
                 144,            0.064082,             0.17059,            0.030207,             0.60554,             0.49005,             0.32278,             0.14939,            0.040254,             0.13541,            0.029152,           0.0019053,           0.0019053,            0.029505
                 145,             0.06377,             0.17515,            0.030156,             0.60635,             0.50793,             0.32976,             0.11799,            0.044794,             0.13627,            0.029235,            0.001879,            0.001879,            0.028979
                 146,            0.063767,             0.16623,            0.030412,             0.61935,             0.48454,             0.33896,             0.13235,            0.043074,             0.13739,            0.029248,           0.0018527,           0.0018527,            0.028453
                 147,            0.065655,             0.16728,              0.0303,             0.61409,             0.49149,             0.34504,             0.13746,             0.04168,             0.13479,            0.029176,           0.0018264,           0.0018264,            0.027926
                 148,            0.062947,             0.16435,            0.030532,             0.60802,             0.49103,             0.34405,             0.15668,            0.039555,             0.13499,            0.029235,           0.0018001,           0.0018001,              0.0274
                 149,            0.063736,             0.16914,            0.029805,             0.61354,             0.48234,             0.34399,             0.14401,            0.042423,             0.13668,            0.029259,           0.0017739,           0.0017739,            0.026874
                 150,            0.062443,             0.16607,            0.030287,             0.61148,             0.50515,             0.33764,             0.14598,            0.041598,             0.13614,            0.029196,           0.0017478,           0.0017478,            0.026348
                 151,            0.063738,             0.17009,            0.030004,             0.61058,             0.50395,             0.33155,             0.13508,            0.042711,             0.13415,             0.02919,           0.0017217,           0.0017217,            0.025822
                 152,              0.0627,             0.16703,            0.030535,             0.61402,             0.49043,             0.33954,             0.15445,            0.040723,             0.13356,            0.029197,           0.0016958,           0.0016958,            0.025296
                 153,             0.06323,             0.16743,             0.03045,             0.60466,             0.53137,             0.34628,             0.16428,            0.039511,             0.13304,            0.029089,             0.00167,             0.00167,             0.02477
                 154,            0.062048,             0.16599,            0.030019,             0.60478,             0.51771,             0.34198,             0.14249,            0.042636,             0.13295,            0.028985,           0.0016444,           0.0016444,            0.024244
                 155,            0.063506,             0.16488,             0.03018,             0.60474,             0.51049,             0.33901,             0.17091,            0.038964,             0.13373,            0.028965,           0.0016189,           0.0016189,            0.023719
                 156,            0.063493,             0.17211,            0.030247,             0.61673,             0.51732,             0.35684,             0.16156,            0.040864,             0.13178,            0.029097,           0.0015936,           0.0015936,            0.023194
                 157,            0.063366,             0.16101,            0.030415,             0.60885,             0.53116,             0.34452,             0.15678,            0.040698,             0.13393,             0.02905,           0.0015686,           0.0015686,            0.022669
                 158,            0.062116,             0.16907,            0.030195,             0.60466,             0.52832,             0.34213,             0.16331,            0.039503,             0.13258,            0.029073,           0.0015438,           0.0015438,            0.022144
                 159,            0.062774,             0.16359,            0.030229,              0.6133,             0.51776,             0.34343,             0.14916,            0.041624,             0.13071,            0.029113,           0.0015192,           0.0015192,            0.021619
